"objet,""id_objet"",""id_forum"",""Date"",""Heure"",""Titre"",""Texte"",""Auteur"",""Email"",""Statut""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978893"",""24/07/2023"",""15:06"",""Favorable"",""Amélioration du dialogue,suivi des dégâts en concertation."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978905"",""24/07/2023"",""15:10"",""Avis favorable pour le projet de décret relatif à la réduction et à l'indemnisation des dégâts du grand gibier"",""ces textes traduisent l'accord signé entre les agriculteurs et les chasseurs le 01 mars 2023. C'est une nouvelle 'boîte à outils'pour limiter les dégâts de sangliers en fonction des besoins et des circonstances locales  avec une extension de la période de chasse , la possibilité d'utiliser la chevrotine dans les maquis et zones périurbaines, du tir autour des récoltes et points d'appât, avec un meilleur encadrement de l'agrainage dissuasif.  Simplification de la procédure d'indemnisation, meilleur encadrement des expertises avec possibilité de contre-expertise et limitation du recours à la CNI surtout quand li y a unanimité en CDCFS. 2 réunions de suivi des dégâts au niveau local et national  par an permettraient un meilleur dialogue. La chevrotine permettrait aux départements qui le souhaitent dans des situations particulières, d'améliorer la régulation du sanglier, sans pour autant mettre en péril la sécurité de la chasse."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978907"",""24/07/2023"",""15:11"",""Favorable"",""Procédure d' indemnisation plus simple. Meilleure régulation."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978922"",""24/07/2023"",""15:16"",""AVIS FAVORABLE"",""Elle est OU cette 'boite à outils' depuis le temps !"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978935"",""24/07/2023"",""15:20"",""Avis favorable "",""Il améliore les relations entre chasseurs et agriculteurs."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978936"",""24/07/2023"",""15:21"",""Avis favorable"",""Je suis favorable à ce projet de décret relatif à l'indemnisation des dégâts grand gibier"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978948"",""24/07/2023"",""15:25"",""Projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""avis favorable , Ces textes traduisent l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars dernier ; Ils instaurent une nouvelle « boite à outils » pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans les maquis et zones périurbaines, tirs autour des récoltes et points d&#8217;appât, meilleur encadrement de l&#8217;agrainage dissuasif) ; Ils clarifient et simplifient la procédure d&#8217;indemnisation des dégâts de grand gibier (retour à un seuil de franchise unique à 150 euros par an et par campagne cynégétique, meilleur encadrement des expertises, ajout d&#8217;une possibilité de contre-expertise, limitation du recours à la CNI notamment quand il y a unanimité en CDCFS) ;"  Ils améliorent le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national. Les départements où les chasseurs le demandent doivent pouvoir également utiliser la chevrotine pour améliorer la régulation des sangliers dans des territoires particuliers (maquis, zones péri urbaines), sans que cela mette en péril la sécurité à la chasse."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978949"",""24/07/2023"",""15:26"",""AVIS FAVORABLE"",""pour plusieurs raison,  Ce texte a été signé après négociations par les personne s responsable de ces secteurs (AGRICULTEURS & CHASSEURS) ce sont les acteurs majeurs de la nature. cet accord instaure une nouvelle dynamique pour limité les dégâts de sangliers il simplifie le fonctionnement et améliore le dialogue et le suivie.  "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978952"",""24/07/2023"",""15:28"",""AVIS FAVORABLE"",""pour plusieurs raison,  Ce texte a été signé après négociations par les personne s responsable de ces secteurs (AGRICULTEURS & CHASSEURS) ce sont les acteurs majeurs de la nature. cet accord instaure une nouvelle dynamique pour limité les dégâts de sangliers il simplifie le fonctionnement et améliore le dialogue et le suivie. je suis donc tr-s favorable   "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978961"",""24/07/2023"",""15:32"",""Projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""AVIS DÉFAVORABLE au projet de décret relatif à la réduction et à l'indemnisation des dégâts de grand gibier. (Jusqu'au 7 AOÛT)"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978966"",""24/07/2023"",""15:34"",""Avis favorable"",""Texte globalement positif car améliorant les relations entre agriculteurs et chasseurs, et limitant les dégâts de sangliers aux cultures. Il simplifie aussi les procédures d'indemnisations  et permet une meilleure efficacité des prélèvements  de sangliers."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""978999"",""24/07/2023"",""15:47"",""Projet  relatif à la réduction et à l'indemnisation  fes dégâts de grand gibier "",""Avis favorable  ,correspond  à l'accord  signé  entre  chasseurs et agriculteurs"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979006"",""24/07/2023"",""15:49"",""AVIS FAVORABLE"",""Favorable car : 	Ces textes traduisent l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars dernier ; &#8226;"	Ils instaurent une nouvelle « boite à outils » pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans les maquis et zones périurbaines, tirs autour des récoltes et points d&#8217";appât, meilleur encadrement de l&#8217;agrainage dissuasif) ; &#8226;"	Ils clarifient et simplifient la procédure d&#8217";indemnisation des dégâts de grand gibier (retour à un seuil de franchise unique à 150 euros par an et par campagne cynégétique, meilleur encadrement des expertises, ajout d&#8217;une possibilité de contre-expertise, limitation du recours à la CNI notamment quand il y a unanimité en CDCFS) ;  &#8226;"	Ils améliorent le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national. &#8226";"	Les départements où les chasseurs le demandent doivent pouvoir également utiliser la chevrotine pour améliorer la régulation des sangliers dans des territoires particuliers (maquis, zones péri urbaines), sans que cela mette en péril la sécurité à la chasse. "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979013"",""24/07/2023"",""15:51"",""Je suis favorable à l'indemnisation des dégâts grand gibier."",""Procédure plus simple mise en place par les agriculteurs et les chasseurs."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979014"",""24/07/2023"",""15:51"",""avis favorable"",""accord chasseurs agriculteurs en vue de limiter les dégâts du sanglier, d'en simplifier l'indemnisation, et utilisation de la chevrotine dans les zones paerticulières";","","",publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979019"",""24/07/2023"",""15:53"",""Favorable "",""L'instauration de cette nouvelle 'boîte à outils' permettra aux acteurs locaux d'agir de manière adaptée. "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979020"",""24/07/2023"",""15:53"",""Avis favorable "",""Ces textes traduisent l&#8217";"accord signé entre les agriculteurs et les chasseurs le 1er mars dernier "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979031"",""24/07/2023"",""15:59"",""Projet décret a la réduction et indemnisation des dégâts de grand gibier"",""Avis favorable, il faut se donner les moyens de réduire les dégâts donc de ce fait de réduire les indemnisations, c'est pour cela qu'il faut modifier la loi de 1986."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979041"",""24/07/2023"",""16:02"",""avis favorable"",""il faut lutter efficacement contre les dégâts de gibier dans les cultures, ce décret améliorera nettement la situation "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979054"",""24/07/2023"",""16:06"",""avis favorable"",""texte qui fait avancer un sujet devenu problématique."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979059"",""24/07/2023"",""16:07"",""Avis Favorable"",""La régulation des grands gibiers devient une problématique préoccupante dans nombre de territoire. Le décret qui marque aussi la qualité de la concertation entre les agriculteurs et les chasseurs va permettre une meilleure régulation de certaines espèces. A noter en zone périurbaine et urbaine l'accroissement significatif des dégats occasionnés dans les jardins ou sur la voie publique, ainsi que le nombre grandissant d'accidents de la circulation."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979077"",""24/07/2023"",""16:13"",""AVIS FAVORABLE"",""La réduction de l'indemnisation des dégâts de gibier est un  pas de plus vers une collaboration efficace entre le monde de la chasse et les agriculteurs."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979089"",""24/07/2023"",""16:15"",""Avis favorable"",""Ce décret devrait améliorer la situation actuelle"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979119"",""24/07/2023"",""16:25"",""Avis FAVORABLE"",""On instaure une nouvelle « boite à outils » pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (nous disons bien 'local', pas national)."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979131"",""24/07/2023"",""16:29"",""Favorable"",""Ils instaurent une nouvelle « boite à outils » pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (nous disons bien 'locales', pas nationales)."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979137"",""24/07/2023"",""16:31"",""Avis favorable "",""Cela permettra une meilleure régulation au cas par cas"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979145"",""24/07/2023"",""16:33"",""Avis favorable "",""Nous permettre de limiter l'extension des dégâts dans les cultures. Et permettre ainsi de limiter la double pénalisation lorsque l'on est chasseur et agriculteur"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979157"",""24/07/2023"",""16:36"",""Sans titre"",""Pour l&#8217";"utilisation de la chevrotine pour une meilleure régulation "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979158"",""24/07/2023"",""16:36"",""favorable"",""toutes ces mesures ne peuvent que favoriser les prélèvements et donc contribuer a la régulation des sangliers."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979160"",""24/07/2023"",""16:37"",""Avis favorable"",""Ces textes traduisent l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars derIls clarifient et simplifient la procédure d&#8217;indemnisation des dégâts de grand gibier (retour à un seuil de franchise unique à 150 euros par an et par campagne cynégétique, meilleur encadrement des expertises, ajout d&#8217;une possibilité de contre-expertise, limitation du recours à la CNI notamment quand il y a unanimité en CDCFS) ; nier ;","","",publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979163"",""24/07/2023"",""16:38"",""Favorable "",""Ce décret permettra une répartition plus juste des dégâts grâce a la contre expertise."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979175"",""24/07/2023"",""16:42"",""Avis favorable à l&#8217";"usage de la chevrotine en zones boisées et à un nouveau calcul des indemnisations des dégâts des grands gibiers."","" Je suis favorable, au tir du sanglier avec des chevrotines en zones boisées et denses (garrigues et maquis). Tir sans doute plus efficaces que celui à balles. Il est inutile d&#8217";avoir une portée de plusieurs centaines de mètres . Ce qui est très dangereux si le tir n&#8217;est pas 'fichant'. Je suis énervé de constater que seul les chasseurs sont obligés de régler l&#8217;ensemble des frais occasionnés par le sanglier alors qu&#8217;ils ne chassent que sur 50% du territoire national. Que les antis chasse et autres écologistes de salon, participent également. Ces antis tout sont prompt à changer d&#8217;"avis, mais seulement, quand ils percutent un sanglier sur la route. De très nombreux accidents (corporels et malheureusement mortels) par an ont lieu sur la route. Sans la régulation faite par les chasseurs il y en aurait nettement plus. Le bilan de ces collisions est de loin très supérieur aux accidents de chasse !  "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979196"",""24/07/2023"",""16:49"",""avis favorable"",""Ce décret donnera des possibilités plus importantes aux chasseurs pour être acteurs dans la diminution des dégâts."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979234"",""24/07/2023"",""17:00"",""favorable"",""Cela correspond à l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars qui clarifie et simplifie la procédure d&#8217;"indemnisation des dégâts de grand gibier "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979235"",""24/07/2023"",""17:01"",""Projet de décret visant à la réduction et à l'indemnisation des dégâts de grand gibier"",""Favorable à ce projet qui est conforme aux accords agro-cynégétiques du 1er mars 2023"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979244"",""24/07/2023"",""17:05"",""projet de décret relatif a la réduction et a l'indemnisation des dégâts de grand gibier"",""Ils améliorent le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979262"",""24/07/2023"",""17:14"",""Projet de décret relatif à la réduction et à l'indemnisation des dégâts de grand gibier "",""Avis favorable qui ne peut être que bénéfique pour l'indemnisation de dégâts. "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979266"",""24/07/2023"",""17:16"",""AVIS FAVORABLE"",""Confirme l'accord chasseurs/agriculteurs intervenu et simplifie la procédure d'indemnisation des dégâts et instaure une procédure de suivi régulière tant au niveau local que national."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979272"",""24/07/2023"",""17:17"",""Décret pour l'indemnisation des dégâts de gibier"",""je suis favorable à ce décret mais en plus il faudrait préciser de ne pas indemniser les propriétaires et agriculteurs hostiles à la chasse et les obliger à payer des indemnités si des animaux sont cantonnés chez eux et causent des dégâts chez leurs voisins."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979279"",""24/07/2023"",""17:19"",""Projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""Président d'une ACCA péri urbaine, je suis favorable à ce projet de décret qui devrait réduire les montants des indemnisations des dégâts de sangliers aux cultures pour lesquels nous ne pouvons intervenir la plupart du temps."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979282"",""24/07/2023"",""17:20"",""Suite projet d'utilisation chevrotines"",""Oui suivant le biotope et l'environnement immédiat  jouxtant certaines parcelles collées contre les cultures ,je suis favorable à l'utilisation des cartouches à chevrotines pour le tir à courte distance hors culture  dans un bois qui ne permet pas un tir a moyenne distance .  "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979289"",""24/07/2023"",""17:22"",""Avis favorable "",""Ces textes traduisent l&#8217";accord signé et instaurent une nouvelle « boite à outils » pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans les maquis et zones périurbaines, tirs autour des récoltes et points d&#8217;appât, meilleur encadrement de l&#8217;agrainage dissuasif) ; Ils clarifient et simplifient la procédure d&#8217;indemnisation des dégâts de grand gibier (retour à un seuil de franchise unique à 150 euros par an et par campagne cynégétique, meilleur encadrement des expertises, ajout d&#8217;une possibilité de contre-expertise, limitation du recours à la CNI notamment quand il y a unanimité en CDCFS) ;"  Ils améliorent le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national. Les départements où les chasseurs le demandent doivent pouvoir également utiliser la chevrotine pour améliorer la régulation des sangliers dans des territoires particuliers (maquis, zones péri urbaines), sans que cela mette en péril la sécurité à la chasse."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979294"",""24/07/2023"",""17:23"",""Avis favorable "",""Ces textes traduisent l&#8217";accord signé et instaurent une nouvelle « boite à outils » pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans les maquis et zones périurbaines, tirs autour des récoltes et points d&#8217;appât, meilleur encadrement de l&#8217;agrainage dissuasif) ; Ils clarifient et simplifient la procédure d&#8217;indemnisation des dégâts de grand gibier (retour à un seuil de franchise unique à 150 euros par an et par campagne cynégétique, meilleur encadrement des expertises, ajout d&#8217;une possibilité de contre-expertise, limitation du recours à la CNI notamment quand il y a unanimité en CDCFS) ;"  Ils améliorent en plus le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national. Merci"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979295"",""24/07/2023"",""17:23"",""Favorable"",""Oui, ce décret donnera des possibilités plus importantes aux chasseurs pour être acteurs dans la diminution des dégâts."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979302"",""24/07/2023"",""17:25"",""AVIS DEFAVORABLE"",""Il serait temps que les dégâts causés aux cultures par les sangliers soient pris en charge par l&#8217";ensemble de la collectivité et non pas par les seuls chasseurs : ce sont les seuls qui depuis des années tentent de contenir les effectifs de sangliers. Pour cela, au lieu de rester bien tranquillement au chaud pendant la mauvaise saison, ils bravent le vent, le froid, la neige, se font conspuer par les animalistes et les médias et en plus il faudraient qu&#8217;ils paient ? L&#8217;explosion des effectifs de sanglier n&#8217;est pas le fait des chasseurs, ils n&#8217;ont donc pas à en supporter le coût. Pour ma part, tant que la charge de l&#8217;indemnisation des dégâts sera supportée uniquement par les chasseurs, j&#8217;"ai décidé de suspendre toute chasse sur mon territoire."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979322"",""24/07/2023"",""17:34"",""Favorable au décret"",""    Ce texte traduit l&#8217";accord signé entre les agriculteurs et les chasseurs.     Ils instaurent de nouvelles dispositions pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans les maquis et zones périurbaines, tirs autour des récoltes et points d&#8217;appât, meilleur encadrement de l&#8217;agrainage dissuasif) ;"         Ils améliorent le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national.     Les départements où les chasseurs le demandent doivent pouvoir également utiliser la chevrotine pour améliorer la régulation des sangliers dans des territoires particuliers (maquis, zones péri urbaines), sans que cela mette en péril la sécurité à la chasse."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979340"",""24/07/2023"",""17:40"",""Favorable au projet de décret "",""    Ce texte traduit l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars dernier.     Il instaure de nouvelles façons de limiter les dégâts de sanglier en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans les maquis et zones périurbaines, tirs autour des récoltes et points d&#8217;appât, meilleur encadrement de l&#8217;"agrainage dissuasif).         Les départements où les chasseurs le demandent doivent pouvoir également utiliser la chevrotine pour améliorer la régulation des sangliers dans des territoires particuliers (maquis, zones péri urbaines), sans que cela mette en péril la sécurité à la chasse."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979344"",""24/07/2023"",""17:42"",""Avis favorable "",""Ces textes traduisent l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars dernier ;","","",publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979349"",""24/07/2023"",""17:46"",""avis défavorable"",""il serait grand temps que l'ensemble des dégâts occasionnés par le grand gibier soient pris en charge par l'ensemble des associations de protection des animaux et non par les seul chasseurs."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979350"",""24/07/2023"",""17:46"",""Projet réduction et indemnisation dégâts "",""Je suis tout à fait favorable à tout cela"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979358"",""24/07/2023"",""17:49"",""avis favorable"",""on ne peut qu'être favorable lorsqu' il y a un accord entre deux parties où il y a un enjeu financier"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979359"",""24/07/2023"",""17:49"",""Didier CAVALLI"",""&#8226";"	Avec avis favorable pour le projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979370"",""24/07/2023"",""17:53"",""AVIS FAVORABLE"",""D'une part, les départements où les chasseurs le demandent doivent pouvoir également utiliser la chevrotine pour améliorer la régulation des sangliers dans des territoires particuliers (maquis, zones péri urbaines), sans que cela mette en péril la sécurité à la chasse et d'autre part améliorer le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979437"",""24/07/2023"",""18:22"",""Avis favorable "",""Bon accord pour ne paq faire tout reposer sur les chasseurs "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979442"",""24/07/2023"",""18:24"",""réduction des dégâts de rand gibier et leur indemnisation"",""avis favorable car le décret cadre avec les accords passés entre chasseurs et agriculteurs"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979445"",""24/07/2023"",""18:26"",""Favorable au projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier."",""Ces textes traduisent l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars dernier. De plus, ils clarifient et simplifient la procédure d&#8217;indemnisation des dégâts de grand gibier (retour à un seuil de franchise unique à 150 euros par an et par campagne cynégétique, meilleur encadrement des expertises, ajout d&#8217;une possibilité de contre-expertise, limitation du recours à la CNI notamment quand il y a unanimité en CDCFS) ;" "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""979452"",""24/07/2023"",""18:29"",""Projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""avis favorable Je suis totalement favorable."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
